Team,Player,Positions,Lineup_Slot,Status
The Roman Empire Strikes Back,Cole Young,2B/2B/SS/IF/UTIL/BE/IL,2B,Rostered
The Roman Empire Strikes Back,Austin Martin,LF/OF/UTIL/BE/IL,OF,Rostered
The Roman Empire Strikes Back,Antonio Senzatela,P/SP/BE/IL/RP,RP,Rostered
The Roman Empire Strikes Back,Jac Caglianone,RF/OF/UTIL/BE/IL,RF,Rostered
The Roman Empire Strikes Back,Janson Junk,P/SP/BE/IL,SP,Rostered
Rebels,Julio Rodriguez,CF/OF/UTIL/BE/IL,CF,Rostered
Rebels,Tarik Skubal,P/SP/BE/IL,SP,Rostered
Rebels,Garrett Crochet,P/SP/BE/IL,BE,Rostered
Rebels,Jacob deGrom,P/SP/BE/IL,SP,Rostered
Rebels,Freddie Freeman,1B/1B/3B/IF/UTIL/BE/IL,1B/3B,Rostered
Rebels,Bo Bichette,SS/2B/SS/IF/UTIL/BE/IL/3B/1B/3B,SS,Rostered
Rebels,Christian Yelich,DH/UTIL/BE/IL,BE,Rostered
Rebels,Cade Smith,P/RP/BE/IL,RP,Rostered
Rebels,Jose Altuve,2B/2B/SS/IF/LF/OF/DH/UTIL/BE/IL,OF,Rostered
Rebels,Yainer Diaz,C/DH/UTIL/BE/IL,BE,Rostered
Rebels,Bryson Stott,2B/2B/SS/IF/UTIL/BE/IL,2B,Rostered
Rebels,Steven Kwan,LF/OF/UTIL/BE/IL/CF,LF,Rostered
Rebels,Willson Contreras,1B/1B/3B/IF/UTIL/BE/IL,BE,Rostered
Rebels,Jonathan Aranda,1B/1B/3B/IF/UTIL/BE/IL,1B,Rostered
Rebels,Carlos Correa,3B/SS/2B/SS/1B/3B/IF/UTIL/BE/IL,BE,Rostered
Rebels,Kerry Carpenter,LF/RF/OF/DH/UTIL/BE/IL,OF,Rostered
Rebels,Tanner Scott,P/RP/BE/IL,RP,Rostered
Rebels,Riley O'Brien,P/RP/BE/IL,RP,Rostered
Rebels,Noah Cameron,P/SP/BE/IL,SP,Rostered
Rebels,Andrew Painter,P/SP/BE/IL,SP,Rostered
Rebels,Taj Bradley,P/SP/BE/IL,P,Rostered
Rebels,Jose Caballero,2B/3B/SS/2B/SS/1B/3B/IF/RF/OF/UTIL/BE/IL,3B,Rostered
Rebels,Travis Bazzana,2B/2B/SS/IF/UTIL/BE/IL,2B/SS,Rostered
Rebels,Gus Varland,P/RP/BE/IL,RP,Rostered
Rebels,Dalton Rushing,C/UTIL/BE/IL,C,Rostered
Rebels,Shane McClanahan,P/SP/BE/IL,P,Rostered
Rebels,Andrew Abbott,P/SP/BE/IL,SP,Rostered
Rebels,Casey Schmitt,2B/3B/2B/SS/1B/3B/IF/UTIL/BE/IL/DH,DH,Rostered
Judge Judy and Executioner ,Elly De La Cruz,SS/2B/SS/IF/UTIL/BE/IL,SS,Rostered
Judge Judy and Executioner ,Gunnar Henderson,SS/2B/SS/IF/UTIL/BE/IL,2B/SS,Rostered
Judge Judy and Executioner ,Bryce Harper,1B/1B/3B/IF/UTIL/BE/IL,1B,Rostered
Judge Judy and Executioner ,Mason Miller,P/RP/BE/IL,RP,Rostered
Judge Judy and Executioner ,Kyle Schwarber,DH/UTIL/BE/IL,DH,Rostered
Judge Judy and Executioner ,Vinnie Pasquantino,1B/1B/3B/IF/DH/UTIL/BE/IL,1B/3B,Rostered
Judge Judy and Executioner ,Logan Gilbert,P/SP/BE/IL,SP,Rostered
Judge Judy and Executioner ,Salvador Perez,C/1B/1B/3B/IF/DH/UTIL/BE/IL,C,Rostered
Judge Judy and Executioner ,Devin Williams,P/RP/BE/IL,RP,Rostered
Judge Judy and Executioner ,Nathan Eovaldi,P/SP/BE/IL,SP,Rostered
Judge Judy and Executioner ,Raisel Iglesias,P/RP/BE/IL,RP,Rostered
Judge Judy and Executioner ,Alec Burleson,1B/1B/3B/IF/LF/RF/OF/DH/UTIL/BE/IL,LF,Rostered
Judge Judy and Executioner ,Ceddanne Rafaela,2B/2B/SS/IF/CF/OF/UTIL/BE/IL,CF,Rostered
Judge Judy and Executioner ,Shane Baz,P/SP/BE/IL,SP,Rostered
Judge Judy and Executioner ,Kris Bubic,P/SP/BE/IL,SP,Rostered
Judge Judy and Executioner ,Daylen Lile,LF/RF/OF/UTIL/BE/IL,RF,Rostered
Judge Judy and Executioner ,Matt McLain,2B/2B/SS/IF/UTIL/BE/IL,2B,Rostered
Judge Judy and Executioner ,Tony Santillan,P/RP/BE/IL,RP,Rostered
Judge Judy and Executioner ,Liam Hicks,C/1B/1B/3B/IF/DH/UTIL/BE/IL,UTIL,Rostered
Judge Judy and Executioner ,Mauricio Dubon,2B/3B/SS/2B/SS/1B/3B/IF/LF/OF/UTIL/BE/IL,OF,Rostered
Judge Judy and Executioner ,Jeffrey Springs,P/SP/BE/IL,SP,Rostered
Judge Judy and Executioner ,Seth Lugo,P/SP/BE/IL,SP,Rostered
Judge Judy and Executioner ,Jakob Junis,P/RP/BE/IL,RP,Rostered
Judge Judy and Executioner ,Foster Griffin,P/SP/BE/IL,P,Rostered
Judge Judy and Executioner ,Max Muncy,3B/1B/3B/IF/UTIL/BE/IL,3B,Rostered
Judge Judy and Executioner ,Rhett Lowder,P/SP/BE/IL,P,Rostered
Judge Judy and Executioner ,Jung Hoo Lee,CF/OF/UTIL/BE/IL/RF,OF,Rostered
Judge Judy and Executioner ,Jack Perkins,P/RP/BE/IL,RP,Rostered
Budget Ballers,Will Smith,C/UTIL/BE/IL,C,Rostered
Budget Ballers,Manny Machado,3B/1B/3B/IF/UTIL/BE/IL,3B,Rostered
Budget Ballers,Yordan Alvarez,LF/OF/DH/UTIL/BE/IL,DH,Rostered
Budget Ballers,Pete Crow-Armstrong,CF/OF/UTIL/BE/IL,CF,Rostered
Budget Ballers,Logan Webb,P/SP/BE/IL,SP,Rostered
Budget Ballers,Jackson Merrill,CF/OF/UTIL/BE/IL,OF,Rostered
Budget Ballers,Dylan Cease,P/SP/BE/IL,SP,Rostered
Budget Ballers,Brent Rooker,RF/OF/DH/UTIL/BE/IL,OF,Rostered
Budget Ballers,Randy Arozarena,LF/OF/UTIL/BE/IL,LF,Rostered
Budget Ballers,Andy Pages,LF/CF/RF/OF/UTIL/BE/IL,RF,Rostered
Budget Ballers,Corey Seager,SS/2B/SS/IF/UTIL/BE/IL,SS,Rostered
Budget Ballers,Matt Chapman,3B/1B/3B/IF/UTIL/BE/IL,1B/3B,Rostered
Budget Ballers,Taylor Ward,LF/OF/UTIL/BE/IL,UTIL,Rostered
Budget Ballers,Colson Montgomery,SS/2B/SS/IF/UTIL/BE/IL,2B/SS,Rostered
Budget Ballers,Daniel Palencia,P/RP/BE/IL,RP,Rostered
Budget Ballers,Gavin Williams,P/SP/BE/IL,SP,Rostered
Budget Ballers,Ranger Suarez,P/SP/BE/IL,SP,Rostered
Budget Ballers,Abner Uribe,P/RP/BE/IL,RP,Rostered
Budget Ballers,Emmet Sheehan,P/SP/BE/IL,SP,Rostered
Budget Ballers,Robbie Ray,P/SP/BE/IL,P,Rostered
Budget Ballers,Grant Taylor,P/RP/BE/IL/SP,RP,Rostered
Budget Ballers,Miguel Vargas,1B/3B/1B/3B/IF/UTIL/BE/IL,1B,Rostered
Budget Ballers,Joel Kuhnel,P/RP/BE/IL,RP,Rostered
Budget Ballers,Max Meyer,P/SP/BE/IL,SP,Rostered
Budget Ballers,Jameson Taillon,P/SP/BE/IL,P,Rostered
Budget Ballers,Luke Weaver,P/RP/BE/IL,RP,Rostered
Budget Ballers,Nasim Nunez,2B/SS/2B/SS/IF/UTIL/BE/IL,2B,Rostered
Lucas Alvarez Team,Bobby Witt Jr.,SS/2B/SS/IF/UTIL/BE/IL,SS,Rostered
Lucas Alvarez Team,Shohei Ohtani,DH/UTIL/P/SP/BE/IL,DH,Rostered
Lucas Alvarez Team,Tanner Bibee,P/SP/BE/IL,SP,Rostered
Lucas Alvarez Team,Cole Ragans,P/SP/BE/IL,SP,Rostered
Lucas Alvarez Team,Tyler Soderstrom,1B/1B/3B/IF/LF/OF/UTIL/BE/IL,LF,Rostered
Lucas Alvarez Team,Alec Bohm,3B/1B/3B/IF/UTIL/BE/IL,1B/3B,Rostered
Lucas Alvarez Team,Trent Grisham,CF/OF/UTIL/BE/IL,CF,Rostered
Lucas Alvarez Team,Zack Littell,P/SP/BE/IL,SP,Rostered
Lucas Alvarez Team,Merrill Kelly,P/SP/BE/IL,SP,Rostered
Lucas Alvarez Team,Lenyn Sosa,1B/2B/2B/SS/1B/3B/IF/UTIL/BE/IL,2B,Rostered
Lucas Alvarez Team,J.T. Realmuto,C/UTIL/BE/IL,BE,Rostered
Lucas Alvarez Team,Gleyber Torres,2B/2B/SS/IF/UTIL/BE/IL,2B/SS,Rostered
Lucas Alvarez Team,Josh Smith,1B/3B/SS/2B/SS/1B/3B/IF/UTIL/BE/IL/2B,1B,Rostered
Lucas Alvarez Team,Nick Martinez,P/SP/RP/BE/IL,RP,Rostered
Lucas Alvarez Team,Kyle Leahy,P/RP/BE/IL/SP,RP,Rostered
Lucas Alvarez Team,Erick Fedde,P/SP/RP/BE/IL,RP,Rostered
Lucas Alvarez Team,Ramon Laureano,LF/RF/OF/UTIL/BE/IL,RF,Rostered
Lucas Alvarez Team,Trevor Larnach,RF/OF/DH/UTIL/BE/IL/LF,OF,Rostered
Lucas Alvarez Team,Calvin Faucher,P/RP/BE/IL,RP,Rostered
Lucas Alvarez Team,Jose Ferrer,P/RP/BE/IL,RP,Rostered
Lucas Alvarez Team,Nick Castellanos,RF/OF/UTIL/BE/IL,OF,Rostered
Lucas Alvarez Team,TJ Friedl,CF/OF/UTIL/BE/IL/LF,UTIL,Rostered
Lucas Alvarez Team,Jake Irvin,P/SP/BE/IL,P,Rostered
Lucas Alvarez Team,Brayan Bello,P/SP/BE/IL,P,Rostered
Lucas Alvarez Team,Clay Holmes,P/SP/BE/IL,SP,Rostered
Lucas Alvarez Team,Ryne Stanek,P/RP/BE/IL,RP,Rostered
Lucas Alvarez Team,Carter Jensen,C/DH/UTIL/BE/IL,C,Rostered
Lucas Alvarez Team,Josh Jung,3B/1B/3B/IF/UTIL/BE/IL,3B,Rostered
brew crew,Juan Soto,RF/OF/UTIL/BE/IL/DH/LF,RF,Rostered
brew crew,Aaron Judge,RF/OF/DH/UTIL/BE/IL,DH,Rostered
brew crew,Luis Castillo,P/SP/BE/IL,SP,Rostered
brew crew,Jesus Luzardo,P/SP/BE/IL,SP,Rostered
brew crew,Kevin Gausman,P/SP/BE/IL,SP,Rostered
brew crew,Luke Keaschall,2B/2B/SS/IF/UTIL/BE/IL,2B,Rostered
brew crew,Bryan Abreu,P/RP/BE/IL,RP,Rostered
brew crew,Jacob Wilson,SS/2B/SS/IF/UTIL/BE/IL,SS,Rostered
brew crew,Chandler Simpson,LF/CF/OF/UTIL/BE/IL,LF,Rostered
brew crew,Brandon Nimmo,LF/OF/UTIL/BE/IL/RF,OF,Rostered
brew crew,Zac Gallen,P/SP/BE/IL,P,Rostered
brew crew,Heliot Ramos,LF/OF/UTIL/BE/IL,UTIL,Rostered
brew crew,Adley Rutschman,C/UTIL/BE/IL,C,Rostered
brew crew,Luis Arraez,1B/1B/3B/IF/DH/UTIL/BE/IL/2B/2B/SS,1B,Rostered
brew crew,Ian Happ,LF/OF/UTIL/BE/IL,OF,Rostered
brew crew,Jakob Marsee,CF/OF/UTIL/BE/IL,CF,Rostered
brew crew,Trey Yesavage,P/SP/BE/IL,SP,Rostered
brew crew,Braxton Ashcraft,P/SP/RP/BE/IL,RP,Rostered
brew crew,Otto Lopez,2B/SS/2B/SS/IF/UTIL/BE/IL,2B/SS,Rostered
brew crew,Garrett Whitlock,P/RP/BE/IL,RP,Rostered
brew crew,JoJo Romero,P/RP/BE/IL,RP,Rostered
brew crew,Ian Seymour,P/SP/RP/BE/IL,RP,Rostered
brew crew,Will Warren,P/SP/BE/IL,P,Rostered
brew crew,Ernie Clement,2B/3B/SS/2B/SS/1B/3B/IF/UTIL/BE/IL,1B/3B,Rostered
brew crew,Kazuma Okamoto,3B/1B/3B/IF/UTIL/BE/IL,3B,Rostered
brew crew,Bailey Ober,P/SP/BE/IL,SP,Rostered
Spencer Steer for MVP,Yoshinobu Yamamoto,P/SP/BE/IL,SP,Rostered
Spencer Steer for MVP,Joe Ryan,P/SP/BE/IL,SP,Rostered
Spencer Steer for MVP,James Wood,LF/OF/DH/UTIL/BE/IL/RF,LF,Rostered
Spencer Steer for MVP,Jhoan Duran,P/RP/BE/IL,RP,Rostered
Spencer Steer for MVP,Freddy Peralta,P/SP/BE/IL,SP,Rostered
Spencer Steer for MVP,Andres Munoz,P/RP/BE/IL,RP,Rostered
Spencer Steer for MVP,Cody Bellinger,LF/CF/RF/OF/UTIL/BE/IL,CF,Rostered
Spencer Steer for MVP,Geraldo Perdomo,SS/2B/SS/IF/UTIL/BE/IL,SS,Rostered
Spencer Steer for MVP,William Contreras,C/DH/UTIL/BE/IL,C,Rostered
Spencer Steer for MVP,Trevor Story,SS/2B/SS/IF/UTIL/BE/IL,2B/SS,Rostered
Spencer Steer for MVP,Agustin Ramirez,C/DH/UTIL/BE/IL,DH,Rostered
Spencer Steer for MVP,Trevor Megill,P/RP/BE/IL,RP,Rostered
Spencer Steer for MVP,Shota Imanaga,P/SP/BE/IL,SP,Rostered
Spencer Steer for MVP,Spencer Steer,1B/1B/3B/IF/UTIL/BE/IL/OF/LF/RF,1B,Rostered
Spencer Steer for MVP,Xavier Edwards,2B/SS/2B/SS/IF/UTIL/BE/IL,2B,Rostered
Spencer Steer for MVP,Tyler Glasnow,P/SP/BE/IL,SP,Rostered
Spencer Steer for MVP,Sal Frelick,RF/OF/UTIL/BE/IL,RF,Rostered
Spencer Steer for MVP,Isaac Paredes,3B/1B/3B/IF/UTIL/BE/IL,3B,Rostered
Spencer Steer for MVP,Caleb Durbin,3B/1B/3B/IF/UTIL/BE/IL,1B/3B,Rostered
Spencer Steer for MVP,Cade Cavalli,P/SP/BE/IL,P,Rostered
Spencer Steer for MVP,Yusei Kikuchi,P/SP/BE/IL,P,Rostered
Spencer Steer for MVP,Giancarlo Stanton,RF/OF/DH/UTIL/BE/IL,OF,Rostered
Spencer Steer for MVP,Alex Vesia,P/RP/BE/IL,RP,Rostered
Spencer Steer for MVP,Kyle Finnegan,P/RP/BE/IL,RP,Rostered
Spencer Steer for MVP,Kevin Ginkel,P/RP/BE/IL,RP,Rostered
Spencer Steer for MVP,Brandon Marsh,LF/CF/OF/UTIL/BE/IL,OF,Rostered
Spencer Steer for MVP,Dillon Dingler,C/UTIL/BE/IL,UTIL,Rostered
Spencer Steer for MVP,Noah Schultz,P/SP/BE/IL,SP,Rostered
Exit Velo Vets,Fernando Tatis Jr.,RF/OF/UTIL/BE/IL,RF,Rostered
Exit Velo Vets,Pete Alonso,1B/1B/3B/IF/UTIL/BE/IL,1B,Rostered
Exit Velo Vets,Zach Neto,SS/2B/SS/IF/UTIL/BE/IL,SS,Rostered
Exit Velo Vets,George Kirby,P/SP/BE/IL,SP,Rostered
Exit Velo Vets,Shea Langeliers,C/UTIL/BE/IL,C,Rostered
Exit Velo Vets,George Springer,RF/OF/DH/UTIL/BE/IL,OF,Rostered
Exit Velo Vets,Riley Greene,LF/OF/DH/UTIL/BE/IL,DH,Rostered
Exit Velo Vets,Michael Harris II,CF/OF/UTIL/BE/IL,CF,Rostered
Exit Velo Vets,Michael Busch,1B/1B/3B/IF/UTIL/BE/IL,1B/3B,Rostered
Exit Velo Vets,Kyle Stowers,LF/RF/OF/UTIL/BE/IL,LF,Rostered
Exit Velo Vets,Michael King,P/SP/BE/IL,SP,Rostered
Exit Velo Vets,Sonny Gray,P/SP/BE/IL,P,Rostered
Exit Velo Vets,Munetaka Murakami,3B/1B/3B/IF/UTIL/BE/IL/1B,3B,Rostered
Exit Velo Vets,Ryan Walker,P/RP/BE/IL,RP,Rostered
Exit Velo Vets,Jo Adell,CF/RF/OF/UTIL/BE/IL,OF,Rostered
Exit Velo Vets,Brandon Lowe,2B/2B/SS/IF/UTIL/BE/IL,2B,Rostered
Exit Velo Vets,Dennis Santana,P/RP/BE/IL,RP,Rostered
Exit Velo Vets,MacKenzie Gore,P/SP/BE/IL,SP,Rostered
Exit Velo Vets,Reid Detmers,P/RP/BE/IL/SP,RP,Rostered
Exit Velo Vets,Seranthony Dominguez,P/RP/BE/IL,RP,Rostered
Exit Velo Vets,Edward Cabrera,P/SP/BE/IL,SP,Rostered
Exit Velo Vets,Ryan Weathers,P/SP/BE/IL,SP,Rostered
Exit Velo Vets,Chase Dollander,P/SP/BE/IL/RP,RP,Rostered
Exit Velo Vets,Ildemaro Vargas,1B/2B/2B/SS/1B/3B/IF/UTIL/BE/IL,2B/SS,Rostered
Exit Velo Vets,Davis Martin,P/SP/BE/IL,P,Rostered
Exit Velo Vets,Moises Ballesteros,DH/UTIL/BE/IL,UTIL,Rostered
Exit Velo Vets,Casey Mize,P/SP/BE/IL,SP,Rostered
Exit Velo Vets,Kirby Yates,P/RP/BE/IL,RP,Rostered
Corbin Barrels,Corbin Carroll,RF/OF/UTIL/BE/IL,RF,Rostered
Corbin Barrels,Bryan Woo,P/SP/BE/IL,SP,Rostered
Corbin Barrels,Ketel Marte,2B/2B/SS/IF/DH/UTIL/BE/IL,2B,Rostered
Corbin Barrels,Trea Turner,SS/2B/SS/IF/UTIL/BE/IL,SS,Rostered
Corbin Barrels,Kyle Tucker,RF/OF/UTIL/BE/IL,OF,Rostered
Corbin Barrels,Framber Valdez,P/SP/BE/IL,SP,Rostered
Corbin Barrels,Maikel Garcia,3B/1B/3B/IF/UTIL/BE/IL,3B,Rostered
Corbin Barrels,Drake Baldwin,C/UTIL/BE/IL/DH,C,Rostered
Corbin Barrels,Spencer Torkelson,1B/1B/3B/IF/UTIL/BE/IL,1B,Rostered
Corbin Barrels,Jack Flaherty,P/SP/BE/IL,SP,Rostered
Corbin Barrels,Michael Wacha,P/SP/BE/IL,P,Rostered
Corbin Barrels,Victor Vodnik,P/RP/BE/IL,RP,Rostered
Corbin Barrels,Jose Soriano,P/SP/BE/IL,SP,Rostered
Corbin Barrels,Xander Bogaerts,SS/2B/SS/IF/UTIL/BE/IL,UTIL,Rostered
Corbin Barrels,Jack Leiter,P/SP/BE/IL,P,Rostered
Corbin Barrels,Matt Brash,P/RP/BE/IL,RP,Rostered
Corbin Barrels,Ben Brown,P/SP/RP/BE/IL,RP,Rostered
Corbin Barrels,Nolan Arenado,3B/1B/3B/IF/UTIL/BE/IL,1B/3B,Rostered
Corbin Barrels,Hogan Harris,P/RP/BE/IL,RP,Rostered
Corbin Barrels,Randy Vasquez,P/SP/BE/IL,SP,Rostered
Corbin Barrels,Jorge Soler,RF/OF/DH/UTIL/BE/IL,DH,Rostered
Corbin Barrels,Mickey Moniak,CF/RF/OF/UTIL/BE/IL/LF,CF,Rostered
Corbin Barrels,Dansby Swanson,SS/2B/SS/IF/UTIL/BE/IL,2B/SS,Rostered
Corbin Barrels,Landen Roupp,P/SP/BE/IL,SP,Rostered
Corbin Barrels,Jeremiah Jackson,3B/1B/3B/IF/RF/OF/UTIL/BE/IL/2B/2B/SS,OF,Rostered
Corbin Barrels,Carmen Mlodzinski,P/SP/RP/BE/IL,RP,Rostered
Corbin Barrels,Jake McCarthy,LF/OF/UTIL/BE/IL/CF,LF,Rostered
Corbin Barrels,Keider Montero,P/SP/RP/BE/IL,RP,Rostered
John's Finest Team,Zack Wheeler,P/SP/BE/IL,SP,Rostered
John's Finest Team,Jose Ramirez,3B/1B/3B/IF/DH/UTIL/BE/IL,3B,Rostered
John's Finest Team,Vladimir Guerrero Jr.,1B/1B/3B/IF/DH/UTIL/BE/IL,1B,Rostered
John's Finest Team,Cristopher Sanchez,P/SP/BE/IL,SP,Rostered
John's Finest Team,Max Fried,P/SP/BE/IL,SP,Rostered
John's Finest Team,Aroldis Chapman,P/RP/BE/IL,RP,Rostered
John's Finest Team,Brice Turang,2B/2B/SS/IF/UTIL/BE/IL,2B,Rostered
John's Finest Team,Konnor Griffin,SS/2B/SS/IF/UTIL/BE/IL,SS,Rostered
John's Finest Team,Ozzie Albies,2B/2B/SS/IF/UTIL/BE/IL,2B/SS,Rostered
John's Finest Team,Masyn Winn,SS/2B/SS/IF/UTIL/BE/IL,UTIL,Rostered
John's Finest Team,Bryan Reynolds,RF/OF/DH/UTIL/BE/IL/LF,RF,Rostered
John's Finest Team,Ryan O'Hearn,1B/1B/3B/IF/RF/OF/DH/UTIL/BE/IL,OF,Rostered
John's Finest Team,Parker Messick,P/SP/BE/IL,SP,Rostered
John's Finest Team,Hunter Gaddis,P/RP/BE/IL,RP,Rostered
John's Finest Team,Bryan King,P/RP/BE/IL,RP,Rostered
John's Finest Team,Gavin Sheets,LF/OF/DH/UTIL/BE/IL/1B/1B/3B/IF,LF,Rostered
John's Finest Team,Chris Bassitt,P/SP/BE/IL,P,Rostered
John's Finest Team,David Peterson,P/SP/BE/IL,SP,Rostered
John's Finest Team,Jake Burger,1B/1B/3B/IF/UTIL/BE/IL,1B/3B,Rostered
John's Finest Team,Fernando Cruz,P/RP/BE/IL,RP,Rostered
John's Finest Team,Jose Alvarado,P/RP/BE/IL,RP,Rostered
John's Finest Team,Josh Bell,1B/1B/3B/IF/DH/UTIL/BE/IL,DH,Rostered
John's Finest Team,Jordan Walker,RF/OF/UTIL/BE/IL,OF,Rostered
John's Finest Team,Kevin Kelly,P/RP/BE/IL,RP,Rostered
John's Finest Team,Eduardo Rodriguez,P/SP/BE/IL,P,Rostered
John's Finest Team,Lance McCullers Jr.,P/SP/BE/IL,SP,Rostered
John's Finest Team,Francisco Alvarez,C/UTIL/BE/IL,C,Rostered
John's Finest Team,Daniel Schneemann,2B/3B/2B/SS/1B/3B/IF/CF/OF/UTIL/BE/IL,CF,Rostered
adam's Astounding Team,Cal Raleigh,C/DH/UTIL/BE/IL,C,Rostered
adam's Astounding Team,Paul Skenes,P/SP/BE/IL,SP,Rostered
adam's Astounding Team,Chris Sale,P/SP/BE/IL,SP,Rostered
adam's Astounding Team,Spencer Strider,P/SP/BE/IL,SP,Rostered
adam's Astounding Team,Austin Riley,3B/1B/3B/IF/UTIL/BE/IL,3B,Rostered
adam's Astounding Team,Alex Bregman,3B/1B/3B/IF/UTIL/BE/IL,1B/3B,Rostered
adam's Astounding Team,CJ Abrams,SS/2B/SS/IF/UTIL/BE/IL,2B/SS,Rostered
adam's Astounding Team,Jarren Duran,LF/CF/OF/UTIL/BE/IL,LF,Rostered
adam's Astounding Team,Nico Hoerner,2B/2B/SS/IF/UTIL/BE/IL,2B,Rostered
adam's Astounding Team,Yandy Diaz,1B/1B/3B/IF/DH/UTIL/BE/IL,DH,Rostered
adam's Astounding Team,Oneil Cruz,CF/OF/UTIL/BE/IL,CF,Rostered
adam's Astounding Team,Teoscar Hernandez,RF/OF/UTIL/BE/IL/LF,RF,Rostered
